No.,name,URL,rank,
1,鬼蔵,https://maps.app.goo.gl/oor1sUqgkaDHiC6Q7,A,
2,アガイ,https://maps.app.goo.gl/j9biApH7R3Wu5pXE6,B,
3,noel,https://maps.app.goo.gl/TCXew61YCG9WoFBJ9,B,
4,ネオパーク,https://maps.app.goo.gl/Qo9FcB75kPU3fgaT7,B,☆
5,にぎり　こぶし,https://maps.app.goo.gl/LDYVhX2cxfropRSo7,C,☆
6,八重食堂,https://maps.app.goo.gl/6MFfWpRBgKr1u22HA,B,☆
7,島中華酒場　クルゥ,https://maps.app.goo.gl/oi58DaWsiERhdHvh9,B,☆
8,アイスクリン＆パーラー　kafuu,https://maps.app.goo.gl/bSQ2oipt5xf2MsVm8,C,☆
9,おおしろそば,https://maps.app.goo.gl/dsgJEpLqHxYw6Avq7,B,☆
10,小さな酒バル盃,https://maps.app.goo.gl/du8bwHacNSRPDBsg9,A,
11,大衆御苑 足立屋,https://maps.app.goo.gl/2Fxj8CsnjvM6UkxJ6,B,
12,オリオンハッピーパーク,https://maps.app.goo.gl/RbzYnn6oxvjZjH2r7,A,
13,和タコス,https://maps.app.goo.gl/2rW5bZKeUQeLA4Kc7,B,
14,大麦の番人,https://maps.app.goo.gl/LiAKeTPLKJx7PQ9V9,B,
15,麺やKEIJIRO 名護店,https://maps.app.goo.gl/AawsgaePzbmXfVaa7,C,
16,宮里そば,https://maps.app.goo.gl/TqBSaKAQR2wtb18n8,A,
17,幸ちゃんそば,https://maps.app.goo.gl/gesThmynr4pKb65f9,A,☆
18,プチレストラン エメラルド,https://maps.app.goo.gl/9pytd5669i75MKtX7,B,
19,ゆきの,https://maps.app.goo.gl/89CSFEWLft8WMzVm8,B,
20,パティスリー ブール・ムー,https://maps.app.goo.gl/D2jWJqGeymZVMpvcA,B,
21,我流酒場まっかず 宮里店,https://maps.app.goo.gl/ZFKCuPSLSZv59nK48,B,
22,居酒屋 おれん家,https://maps.app.goo.gl/75QkV31GxgxkSzG47,B,
23,島唄居酒屋結い唄,https://maps.app.goo.gl/rUHqrsXHRQPeNdpa7,A,☆
24,三國,https://maps.app.goo.gl/u7B1B8J5Sdf9FjQ36,B,☆
25,ジミーなご店,https://maps.app.goo.gl/1zFkR1rqRucFL1SF7,C,
26,ライノナン&カレーハウス名護店/Rhino Naan and Curry House,https://maps.app.goo.gl/1R4doZqg8bdmS2oZ8,B,
27,まんぷく,https://maps.app.goo.gl/LTmjPJKyJjL9CZLm7,C,
28,和風亭　為又店,https://maps.app.goo.gl/T5QV62eKNTjb2vSw7,B,
29,焼肉こうちゃん,https://maps.app.goo.gl/jPSSTxTjQfoVhtDj6,C,
30,豚骨ラーメンまる安,https://maps.app.goo.gl/ipUZ3UiWw4c5HSF6A,C,
